feature_name,display_name,description,concept,concept_display_name,source_table,source_feature_file,data_kind,pandas_dtype,value_type,unit,missing_rate,non_null_count,unique_count,sensitive,mutable,allowed_for_model,allowed_in_user_explanation,allowed_in_recommendation,direction_prior,formatting_rule
NAME_CONTRACT_TYPE,loại hợp đồng vay,"Feature `NAME_CONTRACT_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,2,False,False,True,True,False,unknown,category
CNT_CHILDREN,số con,"Feature `CNT_CHILDREN` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,int64,count,count,0.0,307511,15,True,False,True,limited,False,unknown,integer
AMT_INCOME_TOTAL,tổng thu nhập,"Feature `AMT_INCOME_TOTAL` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,float64,amount,currency,0.0,307511,2548,False,False,True,True,False,unknown,currency_rounded
AMT_CREDIT,số tiền khoản vay hiện tại,"Feature `AMT_CREDIT` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,float64,amount,currency,0.0,307511,5603,False,False,True,True,False,unknown,currency_rounded
AMT_ANNUITY,số tiền trả định kỳ,"Feature `AMT_ANNUITY` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,float64,amount,currency,3.9022994299390916e-05,307499,13672,False,False,True,True,False,unknown,currency_rounded
AMT_GOODS_PRICE,giá trị hàng hóa/khoản mua,"Feature `AMT_GOODS_PRICE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,numeric,float64,amount,currency,0.0009040327012692228,307233,1002,False,False,True,True,False,unknown,currency_rounded
NAME_INCOME_TYPE,loại thu nhập,"Feature `NAME_INCOME_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,8,False,False,True,True,False,unknown,category
NAME_EDUCATION_TYPE,trình độ học vấn,"Feature `NAME_EDUCATION_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,5,True,False,True,limited,False,unknown,category
NAME_FAMILY_STATUS,tình trạng gia đình,"Feature `NAME_FAMILY_STATUS` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,6,True,False,True,limited,False,unknown,category
NAME_HOUSING_TYPE,loại nhà ở,"Feature `NAME_HOUSING_TYPE` thuộc nhóm `hồ sơ khách hàng`, được tạo từ bảng `application_train` trong Data Layer.",application_profile,hồ sơ khách hàng,application_train,application_features.parquet,categorical,str,categorical,,0.0,307511,6,False,False,True,True,False,unknown,category
