source_entity_id,target,target_observation_status,target_event,first_payment_period,first_observed_payment_index,last_observed_payment_index,event_payment_index,terminal_zero_balance_code,terminal_payment_index,observed_horizon_months,first_reporting_period,last_reporting_period,censor_reason
F24Q10000001,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000002,0,ELIGIBLE,no_serious_event_through_12m,202405,0,23,,,,12,202404,202603,
F24Q10000003,0,ELIGIBLE,no_serious_event_through_12m,202403,0,22,,01,22,12,202402,202512,
F24Q10000004,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000005,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000006,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000007,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000008,0,ELIGIBLE,voluntary_payoff_before_12m,202403,0,8,,01,8,8,202402,202410,
F24Q10000009,0,ELIGIBLE,voluntary_payoff_before_12m,202403,0,9,,01,9,9,202402,202411,
F24Q10000010,0,ELIGIBLE,no_serious_event_through_12m,202403,0,23,,01,23,12,202402,202601,
F24Q10000011,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000012,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000013,0,ELIGIBLE,no_serious_event_through_12m,202403,0,14,,01,14,12,202402,202504,
F24Q10000014,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000015,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000016,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
F24Q10000017,0,ELIGIBLE,no_serious_event_through_12m,202403,0,25,,,,12,202402,202603,
