feature_name,display_name,description,concept,concept_display_name,source_table,source_feature_file,data_kind,pandas_dtype,value_type,unit,missing_rate,non_null_count,unique_count,sensitive,mutable,allowed_for_model,allowed_in_user_explanation,allowed_in_recommendation,direction_prior,formatting_rule
classic_fico,Điểm tín dụng FICO,Điểm tín dụng Classic FICO sử dụng tại thời điểm khởi tạo khoản vay.,borrower_creditworthiness,Chất lượng tín dụng người vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,score,score,0.0003338534113353847,1036037,285,False,False,True,True,False,lower_increases_risk,default
first_time_homebuyer_indicator,Người mua nhà lần đầu,Chỉ báo hồ sơ thuộc người mua nhà lần đầu tại origination.,borrower_structure,Cấu trúc người vay,freddie_sflld_origination,orig_2024Q*.txt,binary,float64,binary_indicator,binary,0.0,1036383,2,False,False,True,True,False,unknown,default
mortgage_insurance_percentage,Tỷ lệ bảo hiểm thế chấp,Tỷ lệ phần trăm bảo hiểm thế chấp ban đầu.,leverage,Đòn bẩy khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,percentage,percent,0.0,1036383,12,False,False,True,True,False,unknown,default
number_of_units,Số đơn vị nhà ở,Số đơn vị nhà ở của tài sản bảo đảm.,property_collateral,Tài sản bảo đảm,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,4,False,False,True,True,False,unknown,default
occupancy_status,Tình trạng sử dụng tài sản,"Tài sản là nơi ở chính, nhà đầu tư hay nhà thứ hai.",property_collateral,Tài sản bảo đảm,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,3,False,False,True,True,False,unknown,default
original_cltv,CLTV ban đầu,Combined loan-to-value tại thời điểm khởi tạo.,leverage,Đòn bẩy khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,percentage,percent,0.0,1036383,127,False,False,True,True,False,higher_increases_risk,default
original_dti,DTI ban đầu,Debt-to-income ratio tại thời điểm khởi tạo.,affordability,Khả năng chi trả,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,percentage,percent,1.0613836776558473e-05,1036372,65,False,False,True,True,False,higher_increases_risk,default
original_upb,Dư nợ gốc ban đầu,Original unpaid principal balance tại origination.,loan_terms,Điều khoản khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,amount,USD,0.0,1036383,1304,False,False,True,True,False,unknown,default
original_ltv,LTV ban đầu,Loan-to-value tại thời điểm khởi tạo.,leverage,Đòn bẩy khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,percentage,percent,0.0,1036383,124,False,False,True,True,False,higher_increases_risk,default
original_interest_rate,Lãi suất ban đầu,Lãi suất ghi trên khoản vay tại origination.,loan_terms,Điều khoản khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,percentage,percent,0.0,1036383,2462,False,False,True,True,False,higher_increases_risk,default
channel,Kênh khởi tạo khoản vay,Kênh qua đó khoản vay được khởi tạo.,origination_context,Bối cảnh khởi tạo,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,3,False,False,True,True,False,unknown,default
property_state,Bang của tài sản,Bang hoặc lãnh thổ nơi tài sản bảo đảm tọa lạc.,geography,Khu vực địa lý,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,state_code,0.0,1036383,54,False,False,True,True,False,unknown,default
property_type,Loại tài sản,Loại hình tài sản bảo đảm tại origination.,property_collateral,Tài sản bảo đảm,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,5,False,False,True,True,False,unknown,default
loan_purpose,Mục đích khoản vay,Mục đích khoản vay tại origination.,loan_terms,Điều khoản khoản vay,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,3,False,False,True,True,False,unknown,default
original_loan_term,Kỳ hạn khoản vay ban đầu,Kỳ hạn khoản vay ban đầu tính bằng tháng.,loan_terms,Điều khoản khoản vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,duration,months,0.0,1036383,128,False,False,True,True,False,unknown,default
number_of_borrowers,Số người vay,Số người vay được ghi nhận trên khoản vay.,borrower_structure,Cấu trúc người vay,freddie_sflld_origination,orig_2024Q*.txt,numeric,float64,count,count,0.0,1036383,5,False,False,True,True,False,unknown,default
super_conforming_flag,Khoản vay super-conforming,Chỉ báo khoản vay thuộc phạm vi super-conforming.,leverage,Đòn bẩy khoản vay,freddie_sflld_origination,orig_2024Q*.txt,binary,float64,binary_indicator,binary,0.0,1036383,2,False,False,True,True,False,unknown,default
special_eligibility_program,Chương trình đủ điều kiện đặc biệt,Mã chương trình đủ điều kiện đặc biệt; giá trị thiếu có nghĩa Not Available hoặc Not Applicable theo layout nguồn.,origination_context,Bối cảnh khởi tạo,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.8735467486440823,131054,3,False,False,True,True,False,unknown,default
property_valuation_method,Phương pháp định giá tài sản,Phương pháp định giá tài sản được sử dụng tại origination.,property_collateral,Tài sản bảo đảm,freddie_sflld_origination,orig_2024Q*.txt,categorical,string,categorical,category,0.0,1036383,3,False,False,True,True,False,unknown,default
